,city,country,latitude,longitude,temperature,max temperature,wind speed,cloudiness,humidity
407,Hualmay,PE,-11.0964,-77.6139,65.8,65.8,11.92,44,73
408,Bundibugyo,UG,0.7414,30.0417,64.94,64.94,3.2,20,88
411,Jaguarari,BR,-10.2639,-40.1958,67.86,67.86,7.56,82,68
412,Beitbridge,ZW,-22.2167,30,59.7,59.7,7.65,0,66
413,Yabrūd,SY,33.9674,36.6574,69.46,69.46,2.28,0,50
414,Winnemucca,US,40.973,-117.7357,98.65,98.65,0,1,12
415,Arman',RU,59.7,150.1667,57.87,57.87,3.09,100,92
416,Kiama,AU,-34.6833,150.8667,57.38,58.37,12.68,0,44
417,Karratha,AU,-20.7377,116.8463,71.82,71.82,13.96,82,58
418,Hasaki,JP,35.7333,140.8333,68.4,68.4,15.1,100,84
419,Fort Nelson,CA,58.8053,-122.7002,63.99,63.99,6.91,75,63
420,Codrington,AU,-38.2667,141.9667,52.66,52.66,20.13,54,62
421,Sydney,AU,-33.8679,151.2073,47.84,51.37,1.99,0,64
422,Makat,KZ,47.6469,53.3463,76.89,76.89,4.9,0,18
423,Kununurra,AU,-15.7667,128.7333,78.78,78.78,9.22,99,27
424,Ixtapa,MX,20.7,-105.2,87.03,88.23,8.05,20,70
425,Nhulunbuy,AU,-12.2333,136.7667,74.01,74.01,5.75,0,88
426,Turbat,PK,26.0023,63.044,79.56,79.56,5.08,31,78
427,Brae,GB,60.3964,-1.353,48.11,48.11,14.61,100,75
428,Shakiso,ET,5.75,38.9167,59.7,59.7,1.83,100,83
430,Umluj,SA,25.0213,37.2685,89.2,89.2,8.48,1,49
431,Biała Podlaska,PL,52.0324,23.1165,66.94,66.94,2.37,100,85
432,Touros,BR,-5.1989,-35.4608,79.7,79.7,21.54,23,73
433,Aquin,HT,18.2833,-73.4,84.67,84.67,3.83,79,72
434,Oranjemund,NA,-28.55,16.4333,57.78,57.78,8.41,0,65
436,Rāzole,IN,16.4833,81.8333,75.85,75.85,8.03,100,94
437,Moose Factory,CA,51.2585,-80.6094,82.38,82.4,19.57,20,39
438,Likasi,CD,-10.9814,26.7333,63.41,63.41,3.87,0,43
439,Taoudenni,ML,22.6783,-3.9836,104.58,104.58,8.05,87,9
440,Sturgeon Bay,US,44.8342,-87.377,80.8,82.36,9.22,20,47
441,Hobyo,SO,5.3505,48.5268,77.22,77.22,24.74,32,83
442,Rawson,AR,-43.3002,-65.1023,64.54,64.54,20.45,98,22
443,Synya,RU,65.3718,58.0387,55.51,55.51,9.42,79,82
445,Eilat,IL,29.5581,34.9482,94.84,94.84,16.11,0,34
446,Dunedin,NZ,-45.8742,170.5036,52.81,52.81,8.99,84,42
447,Talcahuano,CL,-36.7167,-73.1167,51.48,51.48,23.02,90,93
449,Ikungi,TZ,-5.1333,34.7667,62.08,62.08,10.11,46,55
450,Narsaq,GL,60.9167,-46.05,61.02,61.02,3.78,97,97
451,Casa Nova,BR,-9.4167,-41.1333,85.98,85.98,19.73,94,46
452,Lagoa,PT,39.05,-27.9833,71.24,71.24,8.21,99,79
453,Barcelos,PT,41.5388,-8.6151,64.89,70.68,5.55,0,75
454,Rio Tuba,PH,8.5061,117.4317,81.66,81.66,7.49,99,78
455,Tecpan,GT,14.7623,-90.9947,63.28,65.52,4.25,100,83
456,Vestmanna,FO,62.1564,-7.1664,45.52,45.52,5.75,19,81
457,Magaria,NE,12.9983,8.9099,83.46,83.46,4.85,100,62
458,Wakkanai,JP,45.4094,141.6739,61.21,61.21,4.5,9,81
459,Severo-Kuril'sk,RU,50.6789,156.125,55.92,55.92,13,27,87
461,Kismayo,SO,-0.3582,42.5454,75.67,75.67,16.62,10,82
462,Norman Wells,CA,65.282,-126.8329,55.44,55.44,3.44,90,88
463,Kautokeino,NO,69.0125,23.0412,44.29,44.29,11.36,99,74
464,Hurghada,EG,27.2574,33.8129,93.24,93.24,14.97,0,21
465,Koumac,NC,-20.5667,164.2833,68.11,68.11,4.99,6,68
466,Sinegorskiy,RU,48.0139,40.8447,72.01,72.01,0.87,99,67
467,Mount Isa,AU,-20.7333,139.5,64.17,64.17,16.11,0,34
468,Yangi Marg`ilon,UZ,40.4272,71.7189,75.92,75.92,16.11,0,22
469,San Policarpo,PH,12.1791,125.5072,80.56,80.56,2.84,92,78
470,Takoradze,GH,4.8845,-1.7554,75.65,75.65,8.77,35,81
471,Gizo Government Station,SB,-8.103,156.8419,81.7,81.7,6.73,83,77
472,Krasnokamensk,RU,50.0979,118.0369,58.1,58.1,1.16,6,83
473,Aba,NG,5.1066,7.3667,78.42,78.42,4.34,97,89
474,Am Timan,TD,11.0297,20.2827,74.08,74.08,3.49,88,90
475,Marolambo,MG,-20.05,48.1167,56.5,56.5,2.8,87,93
476,Muros,ES,42.7762,-9.0603,65.8,66.15,11.27,0,74
477,Mathbaria,BD,22.2876,89.9593,81.23,81.23,4.68,100,89
478,Iguape,BR,-24.7081,-47.5553,66.16,66.16,7.11,62,92
480,Atar,MR,20.5169,-13.0499,103.93,103.93,4.27,100,12
481,Afzalpur,IN,17.2,76.35,77.74,77.74,15.41,98,72
482,Örnsköldsvik,SE,63.2909,18.7153,52.75,55.22,4.61,47,100
483,Huilong,CN,31.8111,121.655,78.04,78.04,4.65,33,94
484,Vostok,RU,46.4856,135.8833,56.25,56.25,2.75,84,92
485,Yantal',RU,56.8471,105.2542,56.7,56.7,4.59,100,97
486,Campbellsville,US,37.3434,-85.3419,81.05,86.14,1.01,100,63
487,Nizhniye Vyazovyye,RU,55.7988,48.5248,66.83,66.83,3.24,35,75
488,Balabac,PH,7.9868,117.0645,80.78,80.78,8.9,95,80
489,Enshi,CN,30.3,109.4833,69.37,69.37,0.11,96,97
490,São Félix do Xingu,BR,-6.6447,-51.995,90.73,90.73,2.71,16,25
491,Mahébourg,MU,-20.4081,57.7,68.29,68.29,12.66,40,68
492,North Bend,US,43.4065,-124.2243,68.65,71.17,9.22,40,73
493,Saiha,IN,22.4833,92.9667,72.14,72.14,1.12,100,100
494,Kroya,ID,-7.6331,109.2461,75.83,75.83,7.61,71,91
495,Worland,US,44.0169,-107.9554,88.59,90.88,5.75,1,22
496,Assiut,EG,27.181,31.1837,87.98,87.98,9.53,0,19
497,Arrondissement de Rennes,FR,48.1667,-1.6667,63.86,64.72,11.5,90,68
498,Monterey,US,36.2505,-121.2516,90.3,98.06,16.75,0,15
499,Hansot,IN,21.5833,72.8,82.45,82.45,8.81,91,74
500,Westport,US,41.1415,-73.3579,80.35,85.08,1.01,1,52
501,Vardø,NO,70.3705,31.1107,44.8,44.8,17.13,100,77
502,Bentiu,SS,9.2333,29.8333,72.3,72.3,1.88,100,90
503,Tombouctou,ML,20,-3,98.96,98.96,9.89,64,23
504,Nuuk,GL,64.1835,-51.7216,47.01,47.01,6.91,75,100
505,Carballo,ES,43.213,-8.691,64.02,65.07,6.98,4,88
506,Caohe,CN,30.2297,115.4335,73.85,73.85,0.89,100,96
507,Alim,PH,9.5649,122.4876,78.93,78.93,3.13,100,81
508,Doha,QA,25.2867,51.5333,95.29,96.78,10.36,0,36
509,Ust'-Koksa,RU,50.2696,85.6108,47.53,47.53,0.74,5,94
510,Oruzgan,AF,32.8333,66,70.52,70.52,0.76,0,17
511,Iki-Burul,RU,45.8208,44.6472,66.54,66.54,3.13,100,81
512,Challapata,BO,-18.9,-66.7667,51.01,51.01,5.28,10,14
513,Kemijärvi,FI,66.7131,27.4306,48.99,48.99,10.87,100,95
514,Bonnyville,CA,54.2668,-110.735,80.26,80.4,4.68,95,33
515,Zhangye,CN,38.9342,100.4517,77.02,77.02,5.55,33,35
516,Chara,RU,56.9064,118.2631,58.55,58.55,2.35,28,72
517,Esfarāyen,IR,37.0765,57.5101,64.06,64.06,5.12,0,24
518,Horodyshche,UA,49.2849,31.4451,68.61,68.61,3.22,1,56
519,Inírida,CO,3.8653,-67.9239,78.51,78.51,2.55,94,94
520,Madison,US,34.7334,-86.5667,85.12,89.28,1.99,75,73
521,Gari,RU,59.4307,62.3497,62.85,62.85,3.71,95,65
523,Gorontalo,ID,0.5412,123.0595,72.88,72.88,2.59,75,95
524,Mahon,ES,39.8885,4.2658,81.16,81.16,5.75,0,83
525,Ayaviri,PE,-14.8864,-70.5889,58.98,58.98,6.33,86,25
526,Kadoma,JP,34.7333,135.5833,73.4,75.18,3.44,75,94
527,Conceição do Castelo,BR,-20.3683,-41.2439,61.45,61.45,3.89,27,95
528,Ylivieska,FI,64.0833,24.55,56.28,58.32,3.85,100,97
529,Changji,CN,44.0167,87.3167,66.99,66.99,2.24,0,77
530,Rabo de Peixe,PT,37.8,-25.5833,74.71,74.71,9.22,40,83
531,Sinnamary,GF,5.3833,-52.95,75.97,75.97,9.33,98,83
532,Salto,UY,-31.3833,-57.9667,66.36,66.36,5.75,0,59
533,Kristinehamn,SE,59.3098,14.1081,56.64,60.78,10.4,95,87
534,Beringovskiy,RU,63.05,179.3167,45.43,45.43,9.73,100,91
535,Guasdualito,VE,7.2424,-70.7324,81.45,81.45,3.36,46,78
536,Abancay,PE,-13.6339,-72.8814,70.74,70.74,9.46,61,41
537,Kāvali,IN,14.9167,79.9833,79.9,79.9,7.61,100,75
538,Bandarbeyla,SO,9.4942,50.8122,78.22,78.22,27.04,90,75
539,Trelew,AR,-43.249,-65.3051,66.54,66.54,14.5,97,15
540,Salta,AR,-24.7859,-65.4117,68.77,70.39,8.01,0,28
541,Banda Aceh,ID,5.5577,95.3222,78.4,78.4,8.46,100,78
542,Matara,LK,5.9485,80.5353,77.7,77.7,12.68,100,86
543,Santa Maria,BR,-29.6842,-53.8069,70.9,70.9,1.14,20,53
544,Ulladulla,AU,-35.35,150.4667,52.38,57.09,11.7,0,44
545,Freeport,US,40.6576,-73.5832,81.36,86.25,5.01,1,52
546,Egvekinot,RU,66.3167,-179.1667,46.06,46.06,3.74,75,62
547,Klenovyy,UA,48.1193,39.4588,66.76,66.76,1.59,100,76
548,Kabo,CF,7.6994,18.629,71.64,71.64,3.11,72,95
549,Tocopilla,CL,-22.092,-70.1979,64.51,64.51,9.91,18,66
550,Dukat,RU,62.55,155.55,50.25,50.25,4.68,16,68
551,Moussoro,TD,13.6408,16.4901,85.05,85.05,9.6,47,53
552,Santa Cruz de La Palma,ES,28.6835,-17.7642,77.14,77.14,17.27,0,78
553,Luoyang,CN,34.6836,112.4536,71.91,71.91,3.71,100,88
554,Macapá,BR,0.0389,-51.0664,93.18,93.18,5.75,0,59
555,Ténenkou,ML,14.4572,-4.9169,82.18,82.18,6.2,83,64
556,Half Moon Bay,US,37.4636,-122.4286,74.05,94.57,8.05,40,69
557,Zhangjiakou,CN,40.81,114.8794,63.84,63.84,3.04,79,95
558,Tessalit,ML,20.1986,1.0114,98.31,98.31,2.59,53,17
559,Ouésso,CG,1.6136,16.0517,75.54,75.54,1.16,36,73
560,Asău,RO,46.4333,26.4,64.96,67.12,3.51,12,91
561,Boa Esperança do Sul,BR,-21.9925,-48.3908,78.58,78.58,5.48,1,30
562,Panabá,MX,21.2833,-88.2667,80.76,80.76,8.55,97,79
563,Ondjiva,AO,-17.0667,15.7333,64.99,64.99,6.51,0,22
565,Baijiantan,CN,45.6333,85.1833,74.61,74.61,4.21,100,44
566,Ust-Nera,RU,64.5667,143.2,59.63,59.63,7.58,100,87
567,Esim,GH,4.8699,-2.2405,76.17,76.17,8.43,39,80
568,Neiafu,TO,-18.65,-173.9833,72.28,72.28,2.3,40,64
569,Wanning,CN,18.8003,110.3967,80.04,80.04,7.76,49,90
570,Yibin,CN,28.7667,104.6238,75.34,75.34,1.54,100,95
571,Rakai,UG,-0.72,31.4839,63.39,63.39,1.16,11,65
572,Kupang,ID,-10.1667,123.5833,75.24,75.24,7.7,0,83
573,Pocatello,US,42.8713,-112.4455,87.71,87.71,3.44,75,16
574,Oriximiná,BR,-1.7656,-55.8661,83.57,83.57,1.63,19,72
575,Jiaojiang,CN,28.6803,121.4428,78.3,78.3,3.38,100,97
576,Lazurne,UA,46.084,32.5295,72.79,72.79,7.74,3,59
577,Valparaíso,CL,-33.0393,-71.6273,52.54,54.52,11.5,90,85
579,Xichang,CN,27.8964,102.2634,64.24,64.24,1.88,99,93
580,Ovsyanka,RU,55.9575,92.5519,49.17,49.17,3.78,18,71
581,Švenčionys,LT,55.15,26.1667,54.82,54.82,5.03,7,94
582,Tahara,JP,34.6667,137.2667,78.19,78.24,11.16,100,84
583,Japura,ID,-0.3167,102.35,72.48,72.48,2.26,98,99
586,Tayu,ID,-6.5397,111.0518,76.55,76.55,9.1,28,83
587,Dzhebariki-Khaya,RU,62.2167,135.8,62.02,62.02,3.18,96,93
588,Bermeo,ES,43.4209,-2.7215,67.96,68.49,7.45,27,83
589,Balkanabat,TM,39.5108,54.3671,82.81,82.81,15.48,0,15
590,Baykit,RU,61.67,96.37,53.8,53.8,1.81,90,94
591,Magistral'nyy,RU,56.1725,107.4458,59.94,59.94,4.21,100,97
592,Richards Bay,ZA,-28.783,32.0377,62.33,62.33,5.82,12,83
593,Concarneau,FR,47.875,-3.9225,61.48,63.05,16.26,99,90
594,Domingos Martins,BR,-20.3633,-40.6592,65.21,65.21,2.39,98,95
595,São João da Barra,BR,-21.6403,-41.0511,73.49,73.49,9.01,90,76
597,Zelenoborsk,RU,61.4669,64.0333,57.76,57.76,4.45,4,76
598,Jarwal,IN,27.1667,81.55,81,81,4.41,84,82
599,Mount Gambier,AU,-37.8333,140.7667,49.91,49.91,9.22,75,93
600,Tsiroanomandidy,MG,-18.7667,46.0333,59.94,59.94,4.09,0,56
601,Menongue,AO,-14.6585,17.691,60.13,60.13,4.27,1,29
602,Plettenberg Bay,ZA,-34.0527,23.3716,58.26,58.26,4.7,0,64
603,Arlit,NE,18.7369,7.3853,94.78,94.78,10.8,90,24
604,Mayumba,GA,-3.432,10.6554,73.44,73.44,7.2,83,92
605,Upington,ZA,-28.4478,21.2561,64.78,64.78,8.05,0,48
606,Praia,CV,14.9215,-23.5087,81.14,81.14,14.97,75,74
607,Grand-Lahou,CI,5.1367,-5.0242,74.52,74.52,6.78,15,81
608,Antofagasta,CL,-23.65,-70.4,58.28,58.28,6.22,27,74
610,Marawi,PH,7.9986,124.2928,65.64,65.64,2.98,100,94
611,Bodden Town,KY,19.2833,-81.25,87.96,89.01,1.01,75,71
612,Viranşehir,TR,37.2353,39.7631,85.78,85.78,8.03,0,22
613,La Ronge,CA,55.1001,-105.2842,77.25,79.02,8.05,20,31
614,Amahai,ID,-3.3333,128.9167,76.05,76.05,2.86,54,86
615,Soeng Sang,TH,14.4264,102.4606,72.79,72.79,3.96,100,94
616,Yaan,NG,7.3833,8.5667,73.38,73.38,5.88,98,94
617,Alta Floresta,BR,-9.8756,-56.0861,96.62,96.62,4.61,20,26
618,Tahoua,NE,14.8888,5.2692,84.18,84.18,4.61,20,65
619,Joshīmath,IN,30.5667,79.5667,66.34,66.34,1.81,31,82
620,Wamba,NG,8.9333,8.6,72.1,72.1,2.46,98,95
621,Cienfuegos,CU,22.1461,-80.4356,89.74,94.01,2.3,40,66
622,West Freehold,US,40.2421,-74.3013,82.15,87.66,1.01,1,46
